LSOA_CODE,AvgPrice,MeanPTAL,MedianPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01032583,725000.0,85.75598365992478,86.57888720528928,1474.0,0.1520096975186897,0.699,0.115,447.0,35.553501312543126,27,184.91983632143405,3158.4411614954697,0.02077607027871118,64,6,114495.9184694376
E01032584,562500.0,93.49594991184037,92.41082898382957,1429.0,0.08693581345247353,0.507,0.314,830.0,74.08829652647586,32,163.9717281147661,2113.165401070981,0.024307148293210103,37,3,73579.53501821918
E01032637,650000.0,38.12093330569594,46.575068610326014,920.0,0.04016615094598774,0.745,0.184,784.0,126.83147161705213,25,284.3228618998779,692.6603993652373,0.0172620743492131,20,2,39790.01601558079
E01032638,815000.0,12.505187471106376,12.375478534604778,722.0,0.0882678218023495,0.5458876691776675,0.18909358557946068,2026.346590715177,322.1172802601122,16,647.3519489532298,874.7683977396786,0.009903268186156562,16,1,26074.26997666774
E01032639,503750.0,53.45676394897272,51.610560417662086,650.0,0.08900656036371574,0.6191607400991409,0.16200901308302754,6765.286884239197,146.20888463877213,34,96.40120907773114,777.4695634947093,0.00873510963739498,25,4,71750.68430286205
E01032640,560000.0,51.38346160033545,47.825095235619045,715.0,0.07623120771933561,0.678,0.043,1137.0,133.1574727390114,21,376.8033267473992,1119.6221151362317,0.014687521530405838,27,3,50085.03058207286
E01032646,645000.0,48.72062482838464,49.72807745708983,1128.0,0.12294697930573427,0.637,0.035,208.0,184.40109680624872,33,184.16448185642608,1541.8964156541952,0.012541294545891563,31,8,102403.03567551526
E01032719,450000.0,63.595664817075296,65.22721712516211,907.0,0.04143686206725493,0.525,0.05,332.0,59.20726632407401,34,137.68721240126337,631.7098306943742,0.01524501710269125,19,4,35794.29794639871
E01032720,615000.0,45.22544763300759,45.468515661744604,2977.0,0.16994132689200592,0.614,0.092,973.0,91.67179175916557,34,162.5753904233329,2791.776490182607,0.016427884501318043,36,5,64532.68653105635
E01032722,560000.0,34.75383831445508,35.23233409907086,3131.0,0.1965002517969989,0.6168234221786958,0.16503206489483016,2594.0589114856148,177.14235966841042,27,358.7684491951656,3075.1917682683084,0.015649810827953733,55,7,112086.2771441801
E01032739,850000.0,97.09449520248953,98.00437067769498,639.0,1.8541173466420533,0.588,0.154,122295.0,34.362679470772626,50,42.65605598586415,28519.929982953086,0.015373267535546471,490,5,1375386.1692527542
E01032740,1005678.0,65.991818050979,69.73002645118775,949.0,0.6893859816965193,0.596,0.244,5715.0,101.66953261446177,38,299.183756635101,10374.045308926576,0.01504823682200865,175,5,100580.63505283771
E01032741,252500.0,31.093311058528663,33.66859230039372,353.0,0.2795748581260061,0.534,0.223,9685.0,45.43117771540715,23,217.21456383211506,3100.1377958392986,0.011088712817862594,48,3,203441.45402416328
E01032742,299500.0,15.483542926128091,9.845514061527652,1082.0,0.22602647556943845,0.659,0.094,4925.0,302.01207287932294,13,392.4763673333937,1976.2669674897081,0.00874353543502595,28,3,154841.4195112469
E01032743,282500.0,8.034589062743201,8.01032808145824,228.0,0.09569599761286589,0.654,0.135,242.0,160.45576319983127,13,2068.796659039643,628.2871599911334,0.006565399267809973,13,1,90222.93734631839
E01032744,312500.0,10.423105464881967,10.104395443752372,1332.0,0.19885636067132875,0.647,0.11961986799071621,38.0,96.33150778816173,20,1815.2351573024482,1967.3108043309517,0.0098932072704265,21,6,140773.1729326352
E01032764,410000.0,8.811329960252987,6.062848713347865,242.0,0.32487700897291044,0.632,0.115,327.0,88.46512612962468,10,91.71762851350316,3057.106015216819,0.009398605267602373,53,9,205838.73639012166
E01032765,460000.0,12.070831025083484,10.261563872451497,521.0,0.08101547882322208,0.3320375960936685,0.2058797723015551,2174.540240474143,19.600409942888298,13,241.65092585854438,962.5399576293983,0.011885311926390299,18,3,60755.874819859804
E01032766,640500.0,48.36786233000678,49.648720514262656,711.0,0.08066822986450217,0.485,0.18126960053555655,30.0,151.07140195893587,19,291.37087874996456,1265.5722200458124,0.015688607797290022,28,3,22317.419429205067
E01032767,662500.0,48.799066518897405,44.00921951272698,881.0,0.13433217733265052,0.75,0.09490994195687943,75.0,180.37400830595524,27,172.32965827510742,2913.7006238765716,0.02169035210540593,51,5,74864.87146335088
E01032768,525000.0,23.519811505181703,22.76629108568284,511.0,0.08292067326498248,0.5913597144179954,0.16324325358569414,1100.0728430899283,217.379950462533,13,217.379950462533,753.4013666943163,0.009101519213358252,15,3,27517.433780591036
E01032769,550000.0,27.194177022587645,27.86032039539428,1073.0,0.15371401801762724,0.531,0.271,115.0,131.48456995758042,14,198.3144436649586,2184.855585696358,0.014213503003907068,43,5,58930.50403397401
E01032770,497500.0,17.205647406832572,17.31379322400199,250.0,0.04373614975032949,0.6107708013249166,0.16341119238034899,3246.3937929920653,269.629373540328,13,519.3710668046315,420.57839668293434,0.009616270651595165,11,3,37119.918513118224
E01032771,620000.0,35.533841739217706,36.32331360726397,21.0,0.3512681722282243,0.59,0.231,8306.0,16.70519563272845,25,132.80284058015224,3018.3411550059077,0.008592672938291553,41,6,78714.01159473874
E01032772,413750.0,19.47891606139451,18.494599218817847,509.0,0.0813539970233969,0.5978585984692272,0.11885639277886721,3326.2369129649564,162.50917619904362,19,338.0154827582582,941.4760900142822,0.011572810020703888,18,3,59158.70640052274
E01032773,413000.0,15.988543005380057,15.369541602660405,14.0,0.033804466014501294,0.5921662510120507,0.10785009740768825,1914.1578681405656,266.77324364953483,17,470.43061774792557,236.2764674326443,0.006989504503082149,3,3,30865.143524141517
E01032774,558737.6103472039,12.459085216770855,12.541963612459092,558.0,0.20424897816163648,0.5495825613130787,0.1638719208344701,1045.9614170025582,357.95717825241144,16,377.0324636445372,644.85135432733,0.003157183241724318,7,2,61210.925829515414
E01032775,530000.0,7.323466881439997,5.946667586933899,417.0,0.15156554060908692,0.5793488321536212,0.1783907051134023,51.830114971972044,194.93700021705183,11,901.8867867125255,0.0,0.0,0,2,31131.621441782707
E01032776,492000.0,13.695448858300114,12.734920309712011,28.0,0.12555338331466387,0.333,0.1907104127286659,3.0,170.70086721773882,17,450.6313758683578,1274.0759089474298,0.010101501038322224,24,3,39130.14723567265
