,AvgPrice,MeanPTAL,MedianPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
count,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0,4719.0
mean,3.01141231515194e-17,3.613694778182328e-17,4.818259704243104e-17,5.149515058909817e-16,-3.613694778182328e-17,7.325260456607094e-16,3.312553546667134e-17,6.02282463030388e-18,2.1079886206063579e-16,-6.02282463030388e-17,-4.818259704243104e-17,1.806847389091164e-16,6.02282463030388e-17,7.52853078787985e-18,1.445477911272931e-16,4.215977241212716e-17
std,1.0001059714939655,1.0001059714939657,1.0001059714939657,1.0001059714939657,1.0001059714939655,1.0001059714939657,1.0001059714939655,1.0001059714939657,1.0001059714939657,1.0001059714939657,1.0001059714939657,1.0001059714939657,1.0001059714939657,1.0001059714939657,1.0001059714939657,1.0001059714939657
min,-1.1522105180554905,-1.1358057963546928,-1.141877192247203,-6.525908915926402,-0.6939728744128625,-4.580051945362049,-1.6200512625466104,-0.15419538207394543,-1.5510743725649154,-2.009234033226766,-1.2435906816836562,-1.919367109976698,-2.5271520329750095,-2.034933807738863,-1.9835941503359025,-0.6596513734920619
25%,-0.5124577838110803,-0.6406865922796596,-0.6386677631107187,-0.24997017149986234,-0.39582244826169444,-0.34238028174468105,-0.7086264255185988,-0.15023289133511136,-0.7001013133297498,-0.7511744928290957,-0.6965831701544427,-0.5772422587495211,-0.6859315485885075,-0.596623105284921,-0.8417117721187479,-0.37081173784136434
50%,-0.25068657948622647,-0.2932271567739171,-0.29121094930589986,0.060378447730021496,-0.2217015082168601,0.12658184860247884,-0.17540724330237062,-0.13805501441743045,-0.1655972314094183,-0.0522525259415011,-0.25481290971889337,-0.14158464576019142,-0.06486070784372545,-0.13636368049965958,-0.27077058301017065,-0.2017018957020683
75%,0.15960569458708795,0.318430020413456,0.31764390296171524,0.3577958744919935,0.05822701001112483,0.5221086461667171,0.49457590267970586,-0.09167226291313771,0.45558538925385206,0.6466694409460935,0.40914347566548814,0.39215990075247587,0.633129387957041,0.38142817238375953,0.3001706060984066,0.0662784161888227
max,15.449049828145416,7.594860927619971,7.43987341788533,19.37957999479029,24.786441178607447,3.1044905406521353,4.689433498646594,41.85870705002499,8.275955466408268,6.098260782669332,8.730736828280094,19.62264902219189,4.731996085877068,26.1559559603584,4.867700118967025,22.262817262914805
