LSOA_CODE,AvgPrice,MEAN_PTAL_2023,MAX_AI,MIN_AI,Population,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Types,LandUse_Area
E01003715,-0.27355366208493326,0.4397997327780561,-0.5048372277774553,0.06981549653961346,0.7931460209116916,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,-0.5298439557754832,-0.3318213126965389,-0.7384896349170879,0.0851805741380986,1.1531640886934218,-0.0788312524015019,-1.4126529612273253,-1.4126529612273253,-0.26108407792171384
E01003716,-0.24090560137703712,-0.6525239193164944,-0.2912250366346518,-0.5441829360794551,0.03451606279419784,-0.30755889606149367,-0.16115033261870523,-0.09950606746158634,-0.17875029554014632,-1.4500964597166903,0.6292847504229894,-0.013493789810779056,-0.9574626756324713,-0.5390906771867633,0.3001706060984066,0.3001706060984066,0.5808738955567475
E01003718,-0.681654420933635,0.4397997327780561,-0.2682733168475506,0.248741176496364,-0.047381489502577055,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,0.08988753757481288,0.36710065419105564,-0.4241275476397719,-0.8656936029889013,-0.41435819964120957,-1.344544670560971,-0.8417117721187479,-0.8417117721187479,-0.3621409570632944
E01003719,-0.44985318990757245,-0.6525239193164944,-0.0717281842315092,-0.805471900091228,0.6034885313823182,0.8937338980125605,-1.4880550070812786,-0.07747150639081675,0.5478389891797403,-0.4716057060740579,0.25007514653633134,0.7888343934986449,-0.5137335427504894,1.1293497376598094,0.8711117952069839,0.8711117952069839,0.24383459756735607
E01003720,-0.6849192270044246,-0.6525239193164944,-0.5939165524155882,-0.805471900091228,-0.11203745184213619,1.2260063729692143,-0.8384245935423105,-0.040816857405792446,0.6887818604920721,0.22731626081353673,0.8647156228567877,1.596869379359715,-0.6185580523525905,1.4170118781505978,0.8711117952069839,0.8711117952069839,0.49586604425887965
E01003721,-0.36235638721041075,-0.6525239193164944,-0.5765627824066738,-0.16825064388461575,-0.24997017149986234,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,0.22451750407185,-0.19203691931902,-0.7446674430743055,-0.17463335055107956,0.20411209343251827,-0.424025820990448,-0.8417117721187479,-0.8417117721187479,-0.23151559412436876
E01003722,-0.5151493113233647,-0.6525239193164944,-0.90409518239705,-0.4752958259038402,-0.33186772379663726,2.29098225424054,-0.16115033261870523,-0.10284780184198743,-0.49874959479389225,-0.3318213126965389,1.8067366690441564,-0.0033711726595195856,-0.5409230327736165,0.09376603189297113,-0.8417117721187479,-0.8417117721187479,-0.06581542660358591
E01003723,-0.4968663973269429,-0.6525239193164944,-0.8415122174843119,-0.6515014864986376,-0.025829502056057347,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,-0.33054761310825764,0.6466694409460935,1.1210909818320665,0.4114597476594236,-0.2377952913617192,0.15129845999112881,-0.27077058301017065,-0.27077058301017065,-0.04147430579103188
E01003726,-0.7763337969865339,-0.6525239193164944,-0.9785200753304711,-0.805471900091228,-0.6896307154088644,1.1322884954173376,-0.6587395855421704,0.38817829367819573,2.542900540927655,-1.7296652464717281,4.230048810543388,4.114431194606046,-2.0715606727158553,0.7266227409727056,3.1548765516412933,3.1548765516412933,8.723185871129726
E01003727,-0.5543269841728401,-0.6525239193164944,-0.9034331506318941,-0.5422674094852723,0.04744725526210967,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,0.667733764063936,0.9262382277011314,0.206328933712689,0.5850002904200503,0.8106089610900602,0.5540254566782326,-1.4126529612273253,-1.4126529612273253,-0.12419994256108301
E01003728,-0.9304326435278037,-0.6525239193164944,-0.27549671936702613,-0.3143070560194617,-0.275832556435686,-0.2138410185096179,-0.879890364619266,-0.09188273590629639,0.09620106697287771,0.36710065419105564,-0.5532874525448245,0.39374807471706674,-0.19384906678292615,0.2663633161874442,0.8711117952069839,0.8711117952069839,-0.23108201460177122
E01003729,-0.4106755170580971,0.4397997327780561,0.7407686011558084,-0.2500487548007485,-0.2542805689891663,1.2174865659190437,0.060000446458390144,-0.10055035945546169,-0.792166630569527,-1.1705276729616525,0.32228197025396926,-0.28285464270739985,1.4244476928269243,0.4964930285800749,-0.27077058301017065,-0.27077058301017065,-0.3907336046158352
E01003730,-0.44985318990757245,-0.6525239193164944,-0.8883805820568862,-0.3097506324953558,0.767283635975868,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,0.2554345360843559,-1.3103120663391714,0.46697966369455235,-0.966223848425523,0.572329406761858,-1.517141954855444,-0.8417117721187479,-0.8417117721187479,-0.4171081973635756
E01003731,-0.3453793956423048,-0.6525239193164944,-0.791150051287652,-0.46058390875860716,-0.4051444811148043,-0.12012314095774118,-0.16115033261870523,-0.06316470607472464,0.9678819939127876,-0.4716057060740579,-0.09544333832461564,-0.9362315727191081,-0.5080221713237869,-0.7692203895793941,-0.8417117721187479,-0.8417117721187479,-0.2849792409161514
E01003732,-1.1028144040654955,-0.6525239193164944,-1.046406470241867,-0.805471900091228,0.3276230920668659,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,2.381339958490973,-1.4500964597166903,-0.5912257807616137,-1.4451180396593875,-1.4951533304948992,-1.344544670560971,-0.8417117721187479,-0.8417117721187479,-0.3760295456455113
E01003733,-0.580445432739157,-0.6525239193164944,-0.8406863553846695,-0.35079533021659676,0.5129701841069354,0.11417155292195014,-0.16115033261870523,-0.09491118268853486,0.18830573699480566,-1.3103120663391714,0.004226270652351811,-0.5476874848470155,1.4330608564622949,-0.30896096479413265,-0.8417117721187479,-0.8417117721187479,-0.4080456971198428
E01003734,-0.43026435348283476,-0.6525239193164944,0.23528068313462647,-0.14649437225281872,0.836249995804731,1.2260063729692143,-1.7092057861583743,-0.09877506306587361,-1.0778967844368081,-0.6113900994515767,-0.4177777115861385,-0.16626389437575406,1.4773817565511316,0.32389574428560186,-0.27077058301017065,-0.27077058301017065,-0.3462924740666057
E01003735,-0.9043141949614868,-0.6525239193164944,-0.89175367291207,-0.5563279969121618,0.2629671297273068,-0.08604391275705874,0.4884800809202628,-0.09929720906281128,-0.8545700074465328,-0.8909588862066147,-0.46582917036412,-0.986297194793738,-1.2113943135362564,-1.1719473862664977,0.3001706060984066,0.3001706060984066,-0.21325256855354835
