LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01002694,0.784,1,,Very Positive,4.7,40
E01002695,0.743,1,,Very Positive,1.0,3
E01002696,0.632,3,0.133,Neutral,4.2,478
E01002697,0.971,1,,Very Positive,5.0,1
E01002699,0.0,1,,Very Negative,5.0,1
E01002700,0.546,1,,Neutral,4.3,685
E01002701,0.675,8,0.289,Very Positive,2.85,103
E01002704,0.548,19,0.081,Neutral,3.637,6542
E01002706,0.608,2,0.007,Positive,4.3,398
E01002709,0.777,1,,Very Positive,4.5,8
E01002710,0.698,2,0.114,Positive,4.75,2286
E01002712,0.314,2,0.444,Positive,4.5,46
E01002713,0.582,2,0.164,Negative,4.55,24
E01002714,0.586,5,0.003,Neutral,3.8,25
E01002717,0.561,1,,Neutral,4.7,454
E01002719,0.567,2,0.209,Negative,4.65,14
E01002720,0.365,3,0.356,Very Negative,4.833,25
E01002721,0.623,1,,Positive,4.4,596
E01002724,0.623,14,0.03,Positive,4.379,1915
E01002725,0.623,1,,Positive,4.3,104
E01002726,0.489,6,0.006,Negative,4.0,120
E01002727,0.8,1,,Very Positive,5.0,37
E01002729,0.551,9,0.026,Neutral,4.022,405
E01002739,0.553,5,0.01,Neutral,2.0,5
E01002740,0.635,7,0.056,Neutral,4.629,14949
E01002765,0.701,2,0.179,Neutral,4.6,58
E01002775,0.687,3,0.015,Positive,4.4,102
E01002776,0.678,2,0.003,Positive,4.8,38
E01002777,0.64,2,0.014,Positive,4.75,96
E01002790,0.534,4,0.183,Neutral,3.85,46
E01002791,0.486,8,0.308,Positive,4.512,10410
E01002792,0.61,3,0.1,Neutral,4.367,36
E01002793,0.604,9,0.104,Positive,4.056,99
E01002794,0.536,13,0.175,Positive,4.023,21266
E01002795,0.519,5,0.109,Neutral,3.84,391
E01002798,0.807,4,0.157,Very Positive,4.4,172
E01002799,0.64,1,,Positive,5.0,2
E01002800,0.558,2,0.089,Negative,4.85,26
E01002801,0.678,4,0.109,Very Positive,4.825,59
E01002802,0.646,2,0.074,Neutral,4.75,238
E01002803,0.606,4,0.077,Neutral,4.3,315
E01002812,0.597,1,,Neutral,4.5,58
E01002813,0.673,4,0.079,Very Positive,4.325,356
E01002816,0.601,3,0.083,Positive,4.767,119
E01002817,0.674,4,0.021,Positive,4.8,268
E01002818,0.713,4,0.016,Very Positive,4.0,648
E01002819,0.798,10,0.137,Very Positive,4.77,9072
E01002820,0.654,6,0.027,Positive,4.567,86468
E01002821,0.761,4,0.14,Very Positive,4.3,120789
E01002823,0.683,1,,Positive,3.7,48
E01002825,0.638,8,0.085,Positive,3.712,410
E01002826,0.576,16,0.183,Neutral,4.212,30971
E01002827,0.559,4,0.155,Negative,4.025,5032
E01002828,0.733,1,,Very Positive,4.6,36
E01002830,0.45,1,,Negative,3.0,4
E01002832,0.505,1,,Neutral,4.4,76
E01002834,0.664,1,,Positive,4.7,48
E01002835,0.556,4,0.027,Neutral,4.125,2754
E01002839,0.0,1,,Very Negative,3.7,3
E01002840,0.521,4,0.008,Neutral,4.0,4
E01002842,0.606,4,0.002,Positive,3.8,228
E01002844,0.59,1,,Neutral,4.3,95
E01002845,0.519,4,0.006,Neutral,4.6,284
E01002847,0.65,2,0.126,Neutral,3.75,687
E01002852,0.587,2,0.149,Negative,4.55,47
E01002856,0.669,1,,Positive,4.7,11
E01002858,0.659,5,0.113,Very Positive,3.08,95
E01002859,0.775,3,0.004,Very Positive,4.7,756
E01002864,0.684,6,0.066,Positive,4.567,53381
E01002865,0.712,2,0.017,Positive,4.8,295
E01002866,0.0,1,,Very Negative,5.0,1
E01002869,0.757,1,,Very Positive,5.0,21
E01002871,0.577,1,,Neutral,4.4,77
E01002872,0.657,1,,Positive,4.3,453
E01002873,0.61,1,,Positive,4.4,107
E01002879,0.729,1,,Very Positive,4.4,1675
E01002883,0.635,1,,Positive,4.6,248
E01002884,0.348,2,0.492,Positive,4.2,294
E01002887,0.547,1,,Neutral,5.0,1
E01002888,0.519,2,0.251,Positive,2.95,124
E01002889,0.528,9,0.24,Positive,4.389,504
E01002890,0.756,2,0.063,Very Positive,4.15,134
E01002891,0.0,1,,Very Negative,5.0,2
E01002897,0.319,6,0.349,Positive,4.85,1179
E01002900,0.743,5,0.117,Very Positive,4.68,7717
E01002901,0.507,4,0.09,Negative,4.725,2640
E01002902,0.629,14,0.211,Neutral,4.536,47895
E01002910,0.423,4,0.008,Negative,4.7,12
E01002914,0.669,3,0.011,Positive,4.567,889
E01003013,0.673,16,0.045,Positive,4.212,195556
E01003014,0.826,6,0.024,Very Positive,4.7,18
E01003016,0.676,3,0.027,Positive,4.133,1766
E01003018,0.555,3,0.033,Neutral,4.7,155
E01003019,0.526,1,,Neutral,4.0,1
E01003020,0.368,4,0.428,Very Negative,4.75,3700
E01003021,0.391,3,0.342,Neutral,4.633,451
E01003023,0.578,1,,Neutral,4.4,11
E01003024,0.458,2,0.053,Negative,3.8,13
E01003025,0.605,2,0.06,Neutral,4.25,170
E01003026,0.54,3,0.034,Neutral,4.0,15
E01003027,0.606,1,,Positive,4.7,14
E01003029,0.7,1,,Positive,5.0,1
E01003030,0.526,3,0.017,Neutral,4.3,18
E01003032,0.571,1,,Neutral,4.5,17
E01003034,0.749,1,,Very Positive,4.7,57
E01003035,0.597,1,,Neutral,3.9,14
E01003039,0.602,7,0.086,Positive,4.086,1723
E01003043,0.676,2,0.006,Positive,4.8,34
E01003047,0.557,9,0.244,Neutral,4.433,13224
E01003050,0.557,4,0.178,Negative,4.55,519
E01003053,0.47,1,,Negative,4.3,110
E01003054,0.276,2,0.39,Neutral,3.65,323
E01003055,0.496,6,0.267,Negative,4.45,500
E01003056,0.682,2,0.139,Neutral,4.35,98
E01003057,0.256,3,0.443,Very Negative,4.567,5
E01003058,0.63,2,0.023,Positive,4.4,58
E01003061,0.639,6,0.323,Very Positive,4.483,957
E01003066,0.596,1,,Neutral,4.2,90
E01003071,0.77,3,0.265,Very Positive,4.933,12
E01003074,0.629,3,0.045,Positive,4.333,11925
E01003076,0.617,1,,Positive,4.9,11
E01003089,0.582,1,,Neutral,4.2,946
E01003090,0.534,4,0.367,Positive,4.775,126
E01003096,0.517,1,,Neutral,4.3,4
E01003099,0.655,4,0.099,Very Positive,4.35,11030
E01003100,0.624,1,,Positive,3.8,43
E01003102,0.592,4,0.09,Neutral,4.4,708
E01003109,0.565,2,0.002,Neutral,4.3,2952
E01003112,0.668,1,,Positive,4.8,56
E01003127,0.592,2,0.009,Neutral,4.6,26
E01003128,0.618,3,0.11,Negative,4.433,96
E01003129,0.497,1,,Negative,4.3,53
E01003130,0.519,1,,Neutral,4.3,9
E01003131,0.792,2,0.002,Very Positive,4.7,218
E01003134,0.626,1,,Positive,4.4,354
E01003137,0.672,1,,Positive,4.3,133
E01003159,0.502,1,,Neutral,3.9,7
E01003160,0.67,1,,Positive,4.2,366
E01003167,0.611,1,,Positive,4.7,17
E01003168,0.667,1,,Positive,5.0,9
E01003170,0.625,1,,Positive,4.2,53
E01003171,0.485,1,,Negative,4.1,168
E01003176,0.369,5,0.351,Very Negative,4.0,76
E01003178,0.466,1,,Negative,4.0,2
E01003179,0.56,1,,Neutral,4.0,8
E01003180,0.666,1,,Positive,4.2,20
E01003181,0.511,1,,Neutral,4.5,10
E01003182,0.725,2,0.133,Positive,3.55,8
E01003183,0.7,1,,Very Positive,4.6,82
E01003186,0.575,2,0.068,Neutral,4.35,373
