LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01032582,0.605,5,0.006,Positive,4.3,18365
E01032583,0.694,2,0.011,Positive,4.35,341
E01032584,0.438,5,0.21,Very Negative,3.68,1590
E01032637,0.6,6,0.008,Neutral,4.3,1326
E01032646,0.682,1,,Positive,4.4,70
E01032719,0.55,5,0.035,Neutral,4.3,1315
E01032720,0.592,1,,Neutral,4.4,594
E01032739,0.57,170,0.16,Positive,4.384,538818
E01032740,0.605,17,0.172,Positive,4.594,17673
E01032764,0.639,4,0.147,Very Positive,4.625,135
E01032766,0.499,6,0.009,Negative,4.5,174
E01032767,0.724,2,0.003,Very Positive,4.8,146
E01032769,0.595,1,,Neutral,4.1,110
E01032771,0.56,16,0.233,Positive,4.031,6913
E01032776,0.337,1,,Very Negative,5.0,2
E01032777,0.748,1,,Very Positive,5.0,2
E01032778,0.607,3,0.006,Positive,4.5,2945
E01032780,0.597,3,0.089,Positive,4.267,596
E01032786,0.719,2,0.005,Very Positive,4.8,26
E01032788,0.864,1,,Very Positive,4.3,730
E01032803,0.0,1,,Very Negative,5.0,1
E01032834,0.358,4,0.002,Very Negative,4.1,32
E01033093,0.591,2,0.109,Neutral,4.55,2409
E01033098,0.437,4,0.003,Negative,4.8,24
E01033099,0.528,3,0.114,Negative,4.567,244
E01033132,0.598,5,0.003,Neutral,4.0,375
E01033320,0.246,3,0.426,Very Negative,4.1,5
E01033327,0.475,10,0.27,Neutral,4.29,13682
E01033341,0.416,4,0.287,Negative,3.8,56
E01033486,0.53,1,,Neutral,4.5,312
E01033488,0.691,4,0.01,Positive,4.5,1856
E01033490,0.553,1,,Neutral,4.5,17
E01033574,0.577,2,0.001,Neutral,4.3,1380
E01033577,0.414,1,,Negative,3.4,7
E01033578,0.655,2,0.005,Positive,4.1,2984
E01033581,0.673,1,,Positive,4.2,5313
E01033583,0.5,11,0.265,Positive,3.7,204606
E01033586,0.596,2,0.058,Neutral,4.45,862
E01033594,0.577,1,,Neutral,4.4,52
E01033595,0.705,42,0.157,Very Positive,4.069,17035
E01033596,0.47,2,0.0,Negative,2.5,262
E01033604,0.705,2,0.019,Positive,3.9,242
E01033698,0.736,1,,Very Positive,4.7,88
E01033699,0.552,4,0.037,Neutral,3.95,192
E01033700,0.684,2,0.008,Positive,4.8,40
E01033704,0.469,7,0.224,Negative,4.071,178
E01033706,0.698,5,0.124,Positive,3.6,688
E01033707,0.61,2,0.008,Positive,4.3,630
E01033708,0.551,12,0.073,Positive,3.717,219
E01033712,0.453,3,0.392,Positive,4.667,246
E01033726,0.0,2,0.0,Very Negative,5.0,4
E01033727,0.345,2,0.005,Very Negative,4.7,6
E01033730,0.585,1,,Neutral,4.1,11
E01033733,0.567,4,0.054,Neutral,4.45,5070
E01033738,0.64,1,,Positive,4.1,163
